benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
dacode,dacode/dacode-dm-csv-027,dacode-dm-csv-027,0.5227072808493322,0.47729271915066784,16,hard,0.2864583125,0.2864583125,0.2082682143021105
hle,hle/hle/hle__67293085960463c6c455b9e9,hle/hle__67293085960463c6c455b9e9,0.5261521829113981,0.4738478170886019,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
swebench-multilingual,swebench-multilingual/swe-bench/swebench_multilingual__fluent__fluentd-3466,swe-bench/swebench_multilingual__fluent__fluentd-3466,0.526201326076385,0.47379867392361497,16,hard,0.1249999374999999,0.1249999374999999,0.199826283063086
labbench,labbench/figqa-0088,figqa-0088,0.5269636604194118,0.4730363395805882,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
labbench,labbench/figqa-0176,figqa-0176,0.526963660419412,0.473036339580588,16,hard,0.1874999375,0.1874999375,0.2347797634516944
strongreject,strongreject/strongreject_sexual_content_0015_pap_logical_appeal,strongreject_sexual_content_0015_pap_logical_appeal,0.5297753771253508,0.47022462287464917,16,medium,0.6953125,0.6953125,0.2731148540895844
labbench,labbench/figqa-0167,figqa-0167,0.5307448206715744,0.46925517932842564,16,hard,0.2083333125,0.2083333125,0.351089586244686
quixbugs,quixbugs/quixbugs-java-wrap,quixbugs-java-wrap,0.5310778067012346,0.4689221932987654,16,medium,0.3750000624999999,0.3750000624999999,0.3703415207803921
labbench,labbench/figqa-0008,figqa-0008,0.5317826256738944,0.46821737432610555,16,hard,0.20833325,0.20833325,0.2856522628613547
seal0,seal0/21,21,0.5329404952020032,0.46705950479799685,16,frontier,0.041666625,0.041666625,0.1102395277213866
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__b3ju06z6,oauthlib__oauthlib.1fd52536.combine_file__b3ju06z6,0.5331139338658737,0.4668860661341263,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
featurebench-modal,featurebench-modal/mlflow__mlflow.93dab383.test_trace_correlation.53c200a6.lv2,mlflow__mlflow.93dab383.test_trace_correlation.53c200a6.lv2,0.5341913632737807,0.4658086367262193,16,medium,0.3125,0.3125,0.399109286063667
mmau,mmau/004fd9c5-1f2b-4c16-939b-4c75e39c84ba,004fd9c5-1f2b-4c16-939b-4c75e39c84ba,0.5371601923106355,0.4628398076893645,16,medium,0.6875000625000001,0.6875000625000001,0.381312623499811
bigcodebench,bigcodebench/bigcodebench_928,bigcodebench_928,0.5374838498865699,0.46251615011343006,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
omnimath,omnimath/omnimath_2728,omnimath_2728,0.5374838498865699,0.46251615011343006,16,saturated,0.9791666875,0.9791666875,0.0806870723588348
swebenchpro,swebenchpro/instance_ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73-v30a923fb5c164d6cd18280c02422f75e611e8fb2,instance_ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73-v30a923fb5c164d6cd18280c02422f75e611e8fb2,0.5374838498865702,0.46251615011342984,16,hard,0.0624999375,0.0624999375,0.1301039948625083
reasoning-gym,reasoning-gym/reasoning-gym-games-tsumego-hard0292e21f-seed45-1,reasoning-gym-games-tsumego-hard0292e21f-seed45-1,0.539524196298399,0.460475803701601,16,hard,0.2635415625,0.2635415625,0.3192448061033978
aa-lcr,aa-lcr/aa-lcr/aa-lcr-90,aa-lcr/aa-lcr-90,0.5395962682029305,0.4604037317970695,16,hard,0.1041666875,0.1041666875,0.2272649178425144
dacode,dacode/dacode-di-text-040,dacode-di-text-040,0.5407708337996872,0.45922916620031284,16,hard,0.0625,0.0625,0.1755448265005978
replicationbench,replicationbench/galaxy_soptics__fof_optimization_sdss,galaxy_soptics__fof_optimization_sdss,0.5417212059785792,0.4582787940214208,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
hle,hle/hle/hle__67320e338f6d9d8c50dca222,hle/hle__67320e338f6d9d8c50dca222,0.5417212059785793,0.4582787940214207,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
usaco,usaco/93,93,0.5419509518690233,0.4580490481309767,16,hard,0.1249999375,0.1249999375,0.199826283063086
skillsbench,skillsbench/data-to-d3,data-to-d3,0.5421504389964964,0.4578495610035036,16,hard,0.0624999375,0.0624999375,0.1301039948625083
seal0,seal0/13,13,0.5432049896402747,0.45679501035972525,16,medium,0.375,0.375,0.4228705147231833
qcircuitbench,qcircuitbench/shor-n18,shor-n18,0.5447049749369507,0.4552950250630493,16,hard,0.1249999375,0.1249999375,0.2602081998932462
qcircuitbench,qcircuitbench/swap_test-n8,swap_test-n8,0.5447049749369507,0.4552950250630493,16,hard,0.083333375,0.083333375,0.2204793861616871
bigcodebench,bigcodebench/bigcodebench_509,bigcodebench_509,0.5461895184117599,0.4538104815882401,16,medium,0.5416666875,0.5416666875,0.4228705208814984
livecodebench,livecodebench/3655,3655,0.5468900735629775,0.4531099264370225,16,medium,0.5833333125,0.5833333125,0.3435922314719002
terminal-bench,terminal-bench/gcode-to-text,gcode-to-text,0.5468925592880106,0.4531074407119894,16,hard,0.1249999374999999,0.1249999374999999,0.2602081998932463
scicode,scicode/scicode-24,scicode-24,0.5473424638373936,0.4526575361626064,16,hard,0.0625,0.0625,0.1468221082858436
gso,gso/gso-numpy--numpy-ba89ef9,gso-numpy--numpy-ba89ef9,0.5477223247228922,0.4522776752771078,16,hard,0.0833333125,0.0833333125,0.1863390074419869
swtbench,swtbench/django__django-15103,django__django-15103,0.5477228998315294,0.45227710016847056,16,hard,0.166666625,0.166666625,0.2357022898583812
simpleqa,simpleqa/simpleqa-1439,simpleqa-1439,0.5490001455682358,0.45099985443176416,16,medium,0.5624999374999999,0.5624999374999999,0.4202967381390303
deepsynth,deepsynth/73,73,0.5493494627972462,0.45065053720275383,16,medium,0.375,0.375,0.3886408474843772
mmau,mmau/ac85ba57-edc0-4ccb-aa61-ce50f4af7650,ac85ba57-edc0-4ccb-aa61-ce50f4af7650,0.5500912200880735,0.44990877991192646,16,hard,0.20833325,0.20833325,0.2856522628613547
swebench-verified,swebench-verified/django__django-7530,django__django-7530,0.551038710773854,0.448961289226146,16,easy,0.9375000625,0.9375000625,0.1301039948625083
hle,hle/hle/hle__67350ad443f1d86ec88ce396,hle/hle__67350ad443f1d86ec88ce396,0.5513917818578444,0.44860821814215557,16,medium,0.39583325,0.39583325,0.3578243041479121
bixbench,bixbench/bix-20-q2,bix-20-q2,0.5516777161146696,0.44832228388533035,16,hard,0.2083331875,0.2083331875,0.1998262569988047
gaia,gaia/544b7f0c-173a-4377-8d56-57b36eb26ddf,544b7f0c-173a-4377-8d56-57b36eb26ddf,0.5534699591602436,0.44653004083975645,16,easy,0.9166666875,0.9166666875,0.1863390074419869
dacode,dacode/dacode-dm-csv-044,dacode-dm-csv-044,0.5543584824042608,0.4456415175957392,16,medium,0.3958333125,0.3958333125,0.3767321695903003
dacode,dacode/dacode-di-text-034,dacode-di-text-034,0.5543998146087998,0.44560018539120017,16,medium,0.604166625,0.604166625,0.3166393765654145
livecodebench,livecodebench/3308,3308,0.5548398321273484,0.44516016787265156,16,hard,0.2083333125,0.2083333125,0.351089586244686
seal0,seal0/96,96,0.5552697038442557,0.44473029615574433,16,medium,0.354166625,0.354166625,0.3429600139675314
reasoning-gym,reasoning-gym/reasoning-gym-logic-propositional-logic-easy00cea0a5-seed45-1,reasoning-gym-logic-propositional-logic-easy00cea0a5-seed45-1,0.556538302972977,0.443461697027023,16,medium,0.4583333125,0.4583333125,0.3397813967383512
gaia,gaia/b2c257e0-3ad7-4f05-b8e3-d9da973be36e,b2c257e0-3ad7-4f05-b8e3-d9da973be36e,0.5565553322644727,0.44344466773552726,16,hard,0.166666625,0.166666625,0.288675134594858
featurebench-modal,featurebench-modal/lightning-ai__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,lightning-ai__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,0.5568901997522152,0.4431098002477848,16,easy,0.833333375,0.833333375,0.2357022898583812
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__ivt14jmt,oauthlib__oauthlib.1fd52536.combine_file__ivt14jmt,0.5570068102336976,0.4429931897663024,16,easy,0.75,0.75,0.3227486767337319
omnimath,omnimath/omnimath_2187,omnimath_2187,0.5574974665914749,0.4425025334085251,16,medium,0.4375000624999999,0.4375000624999999,0.3858388059817643
reasoning-gym,reasoning-gym/reasoning-gym-code-codeio-hard0292e21f-seed45-1,reasoning-gym-code-codeio-hard0292e21f-seed45-1,0.557996532467095,0.442003467532905,16,hard,0.152708375,0.152708375,0.3083451121342924
bixbench,bixbench/bix-30-q3,bix-30-q3,0.5581542359200699,0.44184576407993015,16,medium,0.5208333125,0.5208333125,0.3903124382840173
bixbench,bixbench/bix-6-q4,bix-6-q4,0.5581542359200699,0.44184576407993015,16,hard,0.20833325,0.20833325,0.3307188823860644
spreadsheetbench,spreadsheetbench/1818,1818,0.5588623335137124,0.4411376664862876,16,medium,0.47916675,0.47916675,0.4077164259970556
dacode,dacode/dacode-di-text-028,dacode-di-text-028,0.5606121552118439,0.43938784478815607,16,medium,0.374999875,0.374999875,0.3090083320973876
dacode,dacode/dacode-di-text-039,dacode-di-text-039,0.5606121552118439,0.43938784478815607,16,frontier,0.041666625,0.041666625,0.1102395277213866
gso,gso/gso-pandas-dev--pandas-235113e,gso-pandas-dev--pandas-235113e,0.5611463505854816,0.43885364941451843,16,medium,0.3541666875,0.3541666875,0.3626437250997387
crustbench,crustbench/crustbench-holdem-odds,crustbench-holdem-odds,0.5623993243394757,0.4376006756605243,16,medium,0.5000000625000001,0.5000000625000001,0.4564354874094296
swebench-multilingual,swebench-multilingual/swe-bench/swebench_multilingual__tokio-rs__axum-734,swe-bench/swebench_multilingual__tokio-rs__axum-734,0.5634790639902989,0.4365209360097011,16,hard,0.1875,0.1875,0.3529390685530931
bigcodebench,bigcodebench/bigcodebench_82,bigcodebench_82,0.5636019006551197,0.4363980993448803,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
gso,gso/gso-pandas-dev--pandas-e7e3676,gso-pandas-dev--pandas-e7e3676,0.5645693673535492,0.43543063264645077,16,hard,0.0624999375,0.0624999375,0.1301039948625083
replicationbench,replicationbench/galaxy_manifold__evolution_tracks,galaxy_manifold__evolution_tracks,0.5646931078064226,0.43530689219357743,16,medium,0.4166666249999999,0.4166666249999999,0.3996526703832771
simpleqa,simpleqa/simpleqa-369,simpleqa-369,0.5649324472768684,0.4350675527231316,16,easy,0.7083334375,0.7083334375,0.2856523084441925
gaia,gaia/708b99c5-e4a7-49cb-a5cf-933c8d46470d,708b99c5-e4a7-49cb-a5cf-933c8d46470d,0.5649326823531081,0.4350673176468919,16,medium,0.4375,0.4375,0.4034358168697655
strongreject,strongreject/strongreject_sexual_content_0035_prefix_injection,strongreject_sexual_content_0035_prefix_injection,0.565047546405634,0.43495245359436596,16,saturated,0.9635416875,0.9635416875,0.0975780303409268
kumo,kumo/currencyenv-t4-a6-v1-s1,currencyenv-t4-a6-v1-s1,0.5661383047701815,0.43386169522981854,16,easy,0.833333375,0.833333375,0.2357022898583812
widesearch,widesearch/widesearch/widesearch-ws-zh-097,widesearch/widesearch-ws-zh-097,0.5667063420127155,0.4332936579872845,16,medium,0.322898875,0.322898875,0.1646423158770532
terminal-bench,terminal-bench/db-wal-recovery,db-wal-recovery,0.5669238159175453,0.43307618408245474,16,hard,0.208333375,0.208333375,0.3703414856213578
kumo,kumo/medicalenv-t12-a16-v1-s0,medicalenv-t12-a16-v1-s0,0.5683543052273214,0.43164569477267856,16,hard,0.2291666875,0.2291666875,0.367399878888065
kumo,kumo/artstyleenv-t4-a6-v1-s1,artstyleenv-t4-a6-v1-s1,0.5683543052273214,0.43164569477267856,16,medium,0.645833375,0.645833375,0.3429600139675314
swe-lancer,swe-lancer/50357-manager-0,50357-manager-0,0.5706132153688667,0.42938678463113333,16,hard,0.2916666875,0.2916666875,0.370341492653186
swe-lancer,swe-lancer/24522-manager-0,24522-manager-0,0.5709250297500819,0.42907497024991814,16,hard,0.1666666875,0.1666666875,0.3118048379106149
omnimath,omnimath/omnimath_4118,omnimath_4118,0.5713995825442179,0.42860041745578215,16,medium,0.3958333125,0.3958333125,0.3767321695903003
strongreject,strongreject/strongreject_violence_0044_pap_logical_appeal,strongreject_violence_0044_pap_logical_appeal,0.5714302999859593,0.4285697000140407,16,easy,0.8958333125,0.8958333125,0.1620453227710224
spreadsheetbench,spreadsheetbench/51556,51556,0.5716113819682008,0.4283886180317992,16,hard,0.27083325,0.27083325,0.293890362446504
aider-polyglot,aider-polyglot/polyglot_java_series,polyglot_java_series,0.5719444040740161,0.42805559592598386,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
spider2,spider2/intercom001,intercom001,0.5719446567201873,0.42805534327981265,16,hard,0.229166625,0.229166625,0.347985280160468
swtbench,swtbench/sympy__sympy-13798,sympy__sympy-13798,0.5719446567201873,0.42805534327981265,16,frontier,0.0416666875,0.0416666875,0.1613743867791287
spider2,spider2/twilio001,twilio001,0.5719446567201873,0.42805534327981265,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
swtbench,swtbench/django__django-14631,django__django-14631,0.5719446567201873,0.42805534327981265,16,hard,0.229166625,0.229166625,0.347985280160468
labbench,labbench/figqa-0137,figqa-0137,0.5719446567201875,0.42805534327981254,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
dacode,dacode/dacode-di-text-038,dacode-di-text-038,0.5727864496143358,0.4272135503856642,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
kumo,kumo/sorcererenv-t4-a6-v1-s0,sorcererenv-t4-a6-v1-s0,0.5727864496143359,0.4272135503856641,16,hard,0.1458333125,0.1458333125,0.234779785635582
algotune,algotune/algotune-articulation-points,algotune-articulation-points,0.5730230973105338,0.4269769026894662,16,medium,0.414331875,0.414331875,0.2583474028514886
simpleqa,simpleqa/simpleqa-3563,simpleqa-3563,0.5739824201369819,0.42601757986301814,16,hard,0.25,0.25,0.3227486767337319
scicode,scicode/scicode-37,scicode-37,0.5743081840244715,0.4256918159755285,16,hard,0.069444375,0.069444375,0.1353720083057586
codepde,codepde/codepde-darcy,codepde-darcy,0.5753555416732087,0.4246444583267913,16,medium,0.5,0.5,0.3726780707856313
codepde,codepde/codepde-burgers,codepde-burgers,0.5753555416732087,0.4246444583267913,16,medium,0.4583333125,0.4583333125,0.388640854185088
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-string-synthesis-easy00cea0a5-seed45-0,reasoning-gym-algorithmic-string-synthesis-easy00cea0a5-seed45-0,0.5754661934226425,0.4245338065773575,16,medium,0.4791666875,0.4791666875,0.3903124382840173
aa-lcr,aa-lcr/aa-lcr/aa-lcr-76,aa-lcr/aa-lcr-76,0.5787692078277417,0.42123079217225834,16,medium,0.416666625,0.416666625,0.3996526703832772
aa-lcr,aa-lcr/aa-lcr/aa-lcr-81,aa-lcr/aa-lcr-81,0.5795659170396272,0.42043408296037277,16,hard,0.2708333125,0.2708333125,0.2692260979926348
swebench-multilingual,swebench-multilingual/swe-bench/swebench_multilingual__apache__lucene-12212,swe-bench/swebench_multilingual__apache__lucene-12212,0.5796289046177789,0.42037109538222106,16,medium,0.5833333125,0.5833333125,0.4166667125000386
swe-lancer,swe-lancer/25693-manager-0,25693-manager-0,0.5797511520757478,0.4202488479242522,16,medium,0.6666667500000001,0.6666667500000001,0.3726780148839109
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__jhev9jho,oauthlib__oauthlib.1fd52536.combine_file__jhev9jho,0.5799574314498824,0.42004256855011757,16,hard,0.25,0.25,0.3632416168643813
pixiu,pixiu/pixiu-smcikm-cikmsm3832,pixiu-smcikm-cikmsm3832,0.5811516429922208,0.4188483570077792,16,hard,0.1874999375,0.1874999375,0.2879223874854274
gpqa-diamond,gpqa-diamond/160,160,0.5825518068512079,0.4174481931487921,16,hard,0.0624999375,0.0624999375,0.1301039948625083
deepsynth,deepsynth/40,40,0.5825696563295774,0.41743034367042264,16,hard,0.276041625,0.276041625,0.3419698356428668
spreadsheetbench,spreadsheetbench/41265,41265,0.5831299226605,0.4168700773395,16,easy,0.9375,0.9375,0.1755448265005978
replicationbench,replicationbench/eht_resolve__eht_ring_size,eht_resolve__eht_ring_size,0.5831299226605001,0.4168700773394999,16,frontier,0.041666625,0.041666625,0.1102395277213866
replicationbench,replicationbench/astm3__cross_modal_photometry_to_spectra_search,astm3__cross_modal_photometry_to_spectra_search,0.5831299226605001,0.4168700773394999,16,hard,0.0625,0.0625,0.1755448265005978
swtbench,swtbench/django__django-14373,django__django-14373,0.5835149520791881,0.41648504792081187,16,medium,0.6875,0.6875,0.362643707147077
