benchmark,model,harbor_agent,score_harbor,score_doc,delta,abs_delta,doc_model_matched,doc_agent_matched,match_status,doc_metric,doc_slice_date,alignment_status,alignment_transform,alignment_notes
sldbench,claude-haiku-4-5-20251001,terminus-2,0.611631,0.7597229750000001,-0.14809197500000004,0.14809197500000004,claude-haiku-4-5-20251001,SLDAgent,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
gso,gpt-5.4,terminus-2,0.166667,0.3137,-0.14703299999999997,0.14703299999999997,GPT-5.4 (xhigh),OpenHands,matched_model_agent_mismatch,Opt@1,2026-03-10,direct,identity,"Use Opt@1, not hack-adjusted or Opt@10 variants."
hle,gpt-5-mini,codex,0.289157,0.1944,0.09475700000000001,0.09475700000000001,gpt-5-mini-2025-08-07,,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,gemini-3.1-pro-preview,gemini-cli,0.319385,0.4128345597955406,-0.09344955979554065,0.09344955979554065,Gemini 3.1 Pro Preview,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
hle,gemini-3.1-pro-preview,gemini-cli,0.54083,0.4644,0.07643000000000005,0.07643000000000005,gemini-3.1-pro-preview (thinking high),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,claude-opus-4-6,terminus-2,0.349559,0.2781151069795546,0.0714438930204454,0.0714438930204454,Claude Opus 4.6,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,gpt-5.4,codex,0.310518,0.38087611987235215,-0.07035811987235213,0.07035811987235213,GPT-5.4,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
hle,gemini-3.1-pro-preview,terminus-2,0.532798,0.4644,0.06839800000000001,0.06839800000000001,gemini-3.1-pro-preview (thinking high),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
hle,gpt-5-mini,terminus-2,0.131191,0.1944,-0.06320899999999999,0.06320899999999999,gpt-5-mini-2025-08-07,,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
sldbench,claude-haiku-4-5-20251001,claude-code,0.772381,0.70970173125,0.06267926874999996,0.06267926874999996,claude-haiku-4-5,claude-code,matched_model_and_agent,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
gso,gpt-5.4,codex,0.372549,0.3137,0.05884900000000004,0.05884900000000004,GPT-5.4 (xhigh),OpenHands,matched_model_agent_mismatch,Opt@1,2026-03-10,direct,identity,"Use Opt@1, not hack-adjusted or Opt@10 variants."
algotune,claude-opus-4-6,claude-code,0.328801,0.2781151069795546,0.050685893020445405,0.050685893020445405,Claude Opus 4.6,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
